id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,compression_ratio_pct,latency_ms,original_words,summary_words
30490945,0.09448818897637795,0.6,0.163265306122449,0.031746031746031744,0.21052631578947367,0.05517241379310345,0.07086614173228346,0.45,0.12244897959183673,80.56,7.3,648,126
37469743,0.0736196319018405,0.5454545454545454,0.12972972972972974,0.018518518518518517,0.14285714285714285,0.03278688524590164,0.03067484662576687,0.22727272727272727,0.05405405405405405,60.77,3.8,413,162
35803407,0.09523809523809523,0.16,0.11940298507462685,0.024390243902439025,0.041666666666666664,0.030769230769230767,0.09523809523809523,0.16,0.11940298507462685,75.6,2.5,168,41
18147085,0.11194029850746269,0.75,0.19480519480519481,0.03759398496240601,0.2631578947368421,0.06578947368421052,0.06716417910447761,0.45,0.11688311688311688,60.24,3.1,327,130
37972178,0.07692307692307693,0.125,0.09523809523809525,0.0,0.0,0.0,0.07692307692307693,0.125,0.09523809523809525,74.17,2.5,151,39
38765314,0.20512820512820512,0.34782608695652173,0.2580645161290323,0.02631578947368421,0.045454545454545456,0.03333333333333333,0.07692307692307693,0.13043478260869565,0.0967741935483871,63.81,2.2,105,38
38743089,0.11428571428571428,0.42105263157894735,0.17977528089887637,0.0,0.0,0.0,0.07142857142857142,0.2631578947368421,0.11235955056179775,73.38,2.6,263,70
39445804,0.09523809523809523,0.18181818181818182,0.125,0.0,0.0,0.0,0.07142857142857142,0.13636363636363635,0.09374999999999999,76.36,2.1,165,39
28226694,0.14814814814814814,0.5,0.22857142857142856,0.0125,0.043478260869565216,0.01941747572815534,0.07407407407407407,0.25,0.11428571428571428,72.45,3.0,294,81
14011212,0.07608695652173914,0.3181818181818182,0.12280701754385966,0.02197802197802198,0.09523809523809523,0.03571428571428572,0.05434782608695652,0.22727272727272727,0.08771929824561404,77.12,3.3,389,89
37460682,0.05504587155963303,0.4,0.0967741935483871,0.009259259259259259,0.07142857142857142,0.01639344262295082,0.045871559633027525,0.3333333333333333,0.08064516129032258,81.1,4.2,566,107
31428753,0.05625,0.375,0.09782608695652174,0.0,0.0,0.0,0.03125,0.20833333333333334,0.05434782608695652,74.83,3.9,596,150
30414955,0.10256410256410256,0.43243243243243246,0.16580310880829016,0.0064516129032258064,0.027777777777777776,0.010471204188481674,0.0641025641025641,0.2702702702702703,0.10362694300518134,80.7,4.5,767,148
39076399,0.10679611650485436,0.6111111111111112,0.18181818181818182,0.029411764705882353,0.17647058823529413,0.05042016806722689,0.06796116504854369,0.3888888888888889,0.11570247933884296,71.82,3.1,362,102
35823798,0.1506849315068493,0.4074074074074074,0.22,0.0,0.0,0.0,0.0821917808219178,0.2222222222222222,0.12,82.6,3.2,408,71
30811401,0.05673758865248227,0.3333333333333333,0.09696969696969697,0.0,0.0,0.0,0.0425531914893617,0.25,0.07272727272727272,77.96,4.3,617,136
32557648,0.13793103448275862,0.75,0.23300970873786406,0.011627906976744186,0.06666666666666667,0.0198019801980198,0.06896551724137931,0.375,0.11650485436893203,49.1,2.3,167,85
40369703,0.0847457627118644,0.5769230769230769,0.14778325123152708,0.011363636363636364,0.08,0.01990049751243781,0.05649717514124294,0.38461538461538464,0.09852216748768473,66.28,3.4,513,173
30026001,0.15517241379310345,0.8571428571428571,0.26277372262773724,0.12173913043478261,0.7,0.20740740740740743,0.15517241379310345,0.8571428571428571,0.26277372262773724,86.67,5.3,863,115
35464464,0.11538461538461539,0.3333333333333333,0.17142857142857146,0.0,0.0,0.0,0.07692307692307693,0.2222222222222222,0.1142857142857143,61.65,2.1,133,51
34696593,0.17073170731707318,0.3684210526315789,0.23333333333333336,0.05,0.1111111111111111,0.06896551724137932,0.12195121951219512,0.2631578947368421,0.16666666666666666,82.48,2.9,234,41
40184029,0.15079365079365079,0.6785714285714286,0.24675324675324672,0.072,0.3333333333333333,0.11842105263157894,0.0873015873015873,0.39285714285714285,0.14285714285714285,76.71,6.0,541,126
18118753,0.08450704225352113,0.35294117647058826,0.13636363636363638,0.014285714285714285,0.0625,0.02325581395348837,0.056338028169014086,0.23529411764705882,0.09090909090909091,74.18,3.9,275,71
33670226,0.12,0.2608695652173913,0.1643835616438356,0.0,0.0,0.0,0.08,0.17391304347826086,0.1095890410958904,63.36,3.7,131,48
23687996,0.12,0.72,0.2057142857142857,0.03355704697986577,0.20833333333333334,0.057803468208092484,0.08,0.48,0.13714285714285715,84.08,6.7,911,145
33935224,0.13414634146341464,0.4583333333333333,0.20754716981132074,0.04938271604938271,0.17391304347826086,0.07692307692307693,0.0975609756097561,0.3333333333333333,0.15094339622641506,70.65,3.5,276,81
39919961,0.11016949152542373,0.5652173913043478,0.18439716312056736,0.008547008547008548,0.045454545454545456,0.014388489208633096,0.059322033898305086,0.30434782608695654,0.09929078014184396,78.61,4.6,533,114
